,student_id,age,gender,family_income,internet_access,study_hours_per_day,attendance_rate,assignment_delay_days,travel_time_minutes,part_time_job,scholarship,stress_index,gpa,semester_gpa,cgpa,semester,department,parental_education,dropout
73,3775,17.1,Male,35722.0,Yes,5.51,66.0,5,15.5,No,No,6.3,1.54,1.74,1.78,Year 3,Arts,Bachelor,0
74,6496,21.8,Male,40919.0,No,5.43,100.0,4,36.2,Yes,Yes,5.0,3.1,2.84,2.81,Year 4,Science,Bachelor,0
75,8879,22.2,Female,25000.0,Yes,5.81,89.6,1,30.1,Yes,No,5.0,3.65,3.73,3.73,Year 1,CS,PhD,0
76,7362,22.5,Male,25000.0,Yes,0.96,80.7,0,33.1,No,No,4.1,3.07,2.84,2.84,Year 3,CS,Bachelor,0
77,8367,22.3,Male,40082.0,Yes,4.79,70.1,3,10.4,Yes,No,9.1,2.87,3.15,3.13,Year 4,Science,Bachelor,0
78,7475,20.8,Male,25000.0,Yes,1.43,85.7,0,43.3,Yes,No,5.7,2.51,2.73,2.73,Year 1,Science,Unknown,0
79,47,20.0,Male,25000.0,Yes,6.84,75.6,1,44.0,Yes,No,5.2,3.36,3.59,3.66,Year 4,Business,Bachelor,0
80,31,19.7,Female,25000.0,Yes,6.08,81.1,7,5.0,Yes,No,5.9,3.96,3.8,3.82,Year 4,CS,Bachelor,0
81,8251,20.1,Female,40607.0,No,4.64,74.5,0,46.3,No,No,8.9,1.02,0.93,0.94,Year 3,CS,High School,1
82,6936,22.1,Female,25000.0,Yes,1.05,85.1,4,35.1,No,No,3.7,2.83,2.62,2.62,Year 2,Business,Master,0
83,1469,18.4,Male,25000.0,Yes,3.9,84.4,0,45.3,No,No,7.2,1.35,1.69,1.73,Year 3,CS,Bachelor,0
84,1666,20.9,Male,25346.0,No,2.86,75.2,1,32.7,Yes,No,3.1,1.11,1.01,0.98,Year 4,Engineering,Bachelor,1
85,1417,21.1,Male,25000.0,Yes,4.33,87.2,2,24.5,No,No,4.8,2.96,2.94,2.9,Year 3,Arts,Master,1
86,6481,22.5,Male,41416.0,Yes,3.38,82.8,3,56.5,No,Yes,4.2,2.95,3.0,2.92,Year 4,Engineering,Bachelor,0
87,4853,22.2,Female,41486.0,Yes,4.91,81.0,1,25.7,Yes,No,7.1,1.95,1.84,1.9,Year 2,Science,High School,0
88,2471,23.4,Male,43075.0,Yes,4.32,60.2,2,17.8,No,Yes,6.9,2.36,2.61,2.61,Year 3,Business,High School,1
89,4374,21.3,Female,25000.0,Yes,4.91,80.7,5,31.3,No,Yes,6.9,2.59,1.98,2.04,Year 3,Science,Master,0
90,8525,17.2,Male,25000.0,Yes,3.52,81.0,0,48.5,Yes,No,3.3,2.57,2.9,2.84,Year 4,Arts,Bachelor,0
91,430,17.1,Male,39820.0,Yes,6.97,74.2,1,5.0,No,No,7.5,1.51,1.7,1.7,Year 1,CS,Bachelor,0
92,5245,23.1,Female,29052.0,Yes,1.67,78.1,1,54.5,No,No,4.2,3.13,3.12,3.05,Year 4,Engineering,Bachelor,0
93,2120,20.6,Female,25000.0,Yes,1.84,98.0,0,38.7,Yes,No,6.5,0.54,0.34,0.34,Year 1,Business,Bachelor,0
94,386,21.3,Female,29954.0,Yes,2.91,96.5,1,43.8,No,No,3.1,2.64,2.75,2.75,Year 1,Engineering,Master,1
95,1946,20.2,Female,48598.0,Yes,5.2,85.6,2,16.8,No,No,4.2,2.35,2.19,2.15,Year 2,Science,Bachelor,0
96,4225,18.0,Male,26145.0,Yes,2.66,100.0,1,14.0,Yes,No,3.3,3.83,3.62,3.65,Year 2,Science,Bachelor,0
98,2130,22.6,Male,25000.0,Yes,4.81,72.7,0,15.3,Yes,Yes,5.4,2.92,2.8,2.77,Year 2,Engineering,Master,0
99,6557,20.8,Male,40978.0,Yes,4.34,85.1,2,30.2,No,No,5.2,2.62,2.84,2.78,Year 3,Engineering,PhD,0
100,6999,21.0,Male,25000.0,Yes,3.58,90.3,0,32.4,Yes,Yes,6.7,0.35,0.39,0.34,Year 2,Science,Master,1
101,1056,19.5,Male,36342.0,Yes,5.54,84.2,1,38.8,Yes,No,3.6,3.29,3.44,3.44,Year 1,Engineering,Bachelor,0
102,3275,19.0,Female,25000.0,Yes,2.01,87.0,2,33.1,No,No,4.2,0.95,0.9,0.9,Year 1,Engineering,High School,0
103,4962,18.7,Female,34853.0,Yes,2.13,70.4,5,5.0,No,No,6.6,1.9,2.02,1.99,Year 3,CS,Bachelor,0
104,5364,19.0,Female,39160.0,Yes,2.63,80.7,1,22.2,No,No,3.7,1.43,1.33,1.33,Year 1,Engineering,Bachelor,0
105,5817,19.2,Female,44494.0,Yes,2.84,95.9,3,31.1,No,Yes,5.6,1.81,1.5,1.5,Year 1,CS,Bachelor,0
106,812,20.0,Female,53373.0,Yes,3.15,80.3,0,36.2,Yes,No,3.7,1.45,1.15,1.1,Year 3,Arts,Master,0
107,4574,19.7,Female,25000.0,Yes,5.0,100.0,1,38.9,No,No,6.2,3.51,3.32,3.28,Year 2,Business,Master,0
108,6138,19.7,Female,25000.0,Yes,5.57,93.1,1,32.1,Yes,Yes,3.0,4.0,4.0,3.99,Year 2,Science,Bachelor,0
109,2389,23.0,Male,44537.0,Yes,5.59,85.1,1,39.9,No,No,3.6,2.71,2.5,2.49,Year 2,Arts,High School,0
110,9649,21.7,Female,61832.0,Yes,3.85,81.2,4,31.7,No,No,5.0,1.76,1.46,1.46,Year 4,CS,High School,0
111,6226,20.3,Female,49154.0,Yes,2.63,83.6,1,38.9,No,Yes,4.8,0.89,1.29,1.29,Year 1,Business,High School,1
112,112,20.9,Male,25000.0,No,2.63,76.8,1,53.4,Yes,No,6.8,0.96,1.19,1.19,Year 1,Business,Bachelor,1
113,8910,22.5,Male,34029.0,No,5.25,81.3,4,21.7,No,No,4.8,3.17,2.67,2.63,Year 4,Science,Master,0
114,1746,21.5,Male,25102.0,No,4.08,85.1,0,46.1,Yes,Yes,2.8,4.0,3.57,3.53,Year 4,Arts,Bachelor,0
115,7852,20.3,Male,28669.0,Yes,0.97,72.2,1,29.4,No,No,3.6,2.35,2.32,2.33,Year 3,Engineering,Master,0
116,1453,21.5,Female,25000.0,Yes,1.87,83.4,2,31.3,No,No,7.3,1.17,1.48,1.5,Year 2,Engineering,High School,1
117,320,20.7,Male,25000.0,Yes,4.23,77.6,0,7.7,Yes,No,4.7,2.97,2.57,2.53,Year 3,Arts,Bachelor,0
119,3334,22.3,Male,25000.0,Yes,2.16,84.8,3,34.7,No,No,6.7,2.15,2.65,2.65,Year 1,CS,High School,0
120,1923,18.6,Female,25000.0,No,3.98,81.7,0,25.7,No,Yes,4.4,2.26,2.69,2.62,Year 4,CS,PhD,0
121,5866,19.7,Male,26690.0,Yes,3.77,82.6,0,7.2,No,No,5.9,0.33,0.34,0.34,Year 1,Science,Bachelor,0
122,9529,21.4,Male,25000.0,Yes,3.41,92.1,2,19.9,No,No,6.5,3.24,3.16,3.02,Year 3,CS,Master,1
123,3686,19.1,Female,56463.0,Yes,4.28,75.7,4,29.3,No,No,8.6,2.72,2.37,2.37,Year 1,Arts,Bachelor,0
124,4276,20.8,Male,29571.0,Yes,5.12,81.4,3,16.2,Yes,No,5.5,1.47,1.36,1.43,Year 4,Engineering,High School,1
125,4890,22.4,Male,60030.0,Yes,5.4,90.4,1,35.8,No,No,3.4,4.0,3.54,3.51,Year 2,Science,Bachelor,0
126,5226,18.6,Female,37427.0,Yes,4.61,97.8,3,5.0,No,No,5.4,3.64,3.49,3.48,Year 4,Arts,Bachelor,0
127,7473,18.3,Female,49272.0,Yes,1.41,90.4,2,19.2,Yes,Yes,6.2,0.9,1.49,1.46,Year 2,Business,Unknown,0
128,3606,19.3,Female,25000.0,Yes,4.04,75.7,0,41.3,No,No,5.4,3.58,3.76,3.76,Year 4,Science,Bachelor,0
129,1053,22.1,Male,48357.0,Yes,4.68,74.8,0,26.5,Yes,No,7.2,1.31,1.03,1.03,Year 1,Arts,PhD,1
130,4157,22.2,Female,49815.0,Yes,2.84,81.0,2,28.7,No,No,3.7,3.68,3.78,3.87,Year 2,CS,High School,0
131,9677,18.7,Male,40053.0,Yes,3.19,77.8,2,39.9,No,No,6.7,2.42,2.33,2.33,Year 1,Engineering,Bachelor,0
132,100,20.5,Female,51391.0,Yes,2.6,87.3,0,14.1,Yes,Yes,5.4,1.29,1.4,1.4,Year 2,CS,High School,0
133,7509,19.2,Female,31869.0,Yes,3.81,87.3,1,24.6,No,Yes,3.5,3.81,4.0,4.0,Year 3,CS,Master,0
134,1457,22.7,Female,50038.0,Yes,3.86,86.2,0,47.4,No,No,5.5,2.94,2.61,2.56,Year 4,Arts,Bachelor,0
135,7689,20.5,Male,33339.0,Yes,4.76,73.6,1,33.8,Yes,No,4.2,3.24,3.33,3.3,Year 3,CS,High School,1
136,4005,18.0,Female,42271.0,Yes,4.74,87.6,1,28.1,Yes,Yes,6.7,1.26,0.95,0.89,Year 2,CS,PhD,0
137,6867,23.4,Male,37661.0,Yes,4.34,83.8,1,36.1,Yes,Yes,3.8,4.0,4.0,3.98,Year 4,Arts,Unknown,0
139,3300,23.5,Male,25000.0,No,1.3,85.8,1,28.1,No,No,4.9,1.86,1.78,1.86,Year 2,CS,Bachelor,0
140,3800,18.8,Male,25000.0,No,5.67,72.2,1,53.3,No,No,4.8,1.29,1.07,1.05,Year 3,Engineering,High School,1
141,4282,17.7,Male,29211.0,Yes,3.27,73.0,4,38.1,No,No,1.7,1.36,1.33,1.29,Year 4,Science,High School,0
142,9052,18.5,Female,31317.0,Yes,3.74,80.8,0,5.9,No,No,8.9,1.31,1.6,1.6,Year 1,Business,Bachelor,1
143,6463,20.6,Male,25000.0,Yes,6.63,63.9,2,39.1,No,No,5.0,2.67,3.1,3.24,Year 2,CS,Master,0
144,7913,20.5,Female,29041.0,No,3.88,91.8,3,32.6,Yes,No,6.6,0.64,0.73,0.75,Year 3,CS,Bachelor,1
145,1415,19.6,Female,25000.0,No,2.77,84.5,1,34.5,No,No,8.1,1.26,1.82,1.76,Year 4,Science,Bachelor,0
147,5816,22.5,Female,26213.0,Yes,2.04,79.5,1,29.0,No,Yes,5.8,2.8,2.98,2.97,Year 2,Science,Bachelor,0
148,8200,21.2,Female,43527.0,Yes,3.64,88.8,5,9.3,Yes,Yes,3.7,2.85,2.6,2.64,Year 3,Arts,Bachelor,1
149,3681,18.5,Female,63996.0,No,4.33,71.5,1,29.9,No,Yes,8.1,1.59,1.37,1.31,Year 4,Arts,Unknown,0
150,755,18.9,Female,25000.0,Yes,4.14,84.3,4,5.2,Yes,Yes,4.7,3.09,3.24,3.19,Year 4,Science,Master,0
151,4197,23.4,Male,25000.0,Yes,4.73,93.0,3,35.6,Yes,No,4.6,1.69,1.35,1.36,Year 3,CS,Bachelor,0
152,2651,19.0,Female,31189.0,Yes,2.42,73.8,1,30.7,No,No,3.7,1.97,1.87,1.85,Year 3,Business,High School,0
153,4523,22.1,Male,25000.0,Yes,3.77,89.3,2,47.6,Yes,No,7.7,2.3,2.52,2.51,Year 2,CS,Bachelor,0
154,9520,20.1,Male,25000.0,No,3.47,80.9,0,28.6,No,No,4.2,1.98,2.25,2.24,Year 2,CS,High School,0
155,3119,23.3,Male,27061.0,Yes,7.4,80.1,3,31.5,Yes,No,2.0,3.44,3.4,3.37,Year 4,Engineering,Master,1
156,3729,18.4,Male,45205.0,Yes,4.19,82.5,2,52.3,No,Yes,7.8,4.0,4.0,3.94,Year 3,Engineering,Master,0
157,3887,17.0,Female,33644.0,Yes,5.25,79.2,3,28.5,Yes,Yes,7.8,0.0,0.64,0.62,Year 3,Arts,Unknown,0
158,7108,20.7,Female,25000.0,Yes,3.14,75.5,3,22.7,No,No,7.3,2.87,2.89,2.94,Year 3,Engineering,PhD,0
159,8069,21.1,Male,39823.0,Yes,4.2,82.6,0,12.2,No,No,3.6,1.64,0.97,0.96,Year 2,Business,High School,0
160,7326,22.6,Male,58367.0,Yes,3.17,74.3,2,20.7,No,No,9.4,0.0,0.99,1.0,Year 3,Arts,Bachelor,1
161,8484,18.1,Female,25000.0,Yes,4.8,78.7,3,8.3,Yes,Yes,4.0,3.94,4.0,4.0,Year 2,CS,Master,0
162,8768,21.4,Male,25000.0,Yes,6.01,68.2,2,13.1,No,Yes,5.3,2.11,2.58,2.53,Year 4,Business,Master,1
163,6501,23.7,Male,25000.0,No,3.45,73.6,2,22.8,No,No,6.4,2.59,2.43,2.45,Year 4,Business,Bachelor,0
164,8427,22.8,Female,25000.0,Yes,3.42,66.7,0,44.3,Yes,No,6.3,1.21,0.98,0.91,Year 2,Business,High School,0
165,7964,22.6,Female,25000.0,Yes,5.84,64.7,2,52.5,Yes,No,2.7,2.91,3.0,3.09,Year 3,Business,PhD,0
166,602,19.0,Female,43635.0,Yes,5.15,68.2,2,26.4,Yes,Yes,4.9,2.04,1.63,1.56,Year 2,Engineering,Bachelor,1
167,9250,17.3,Female,25000.0,Yes,3.58,78.3,2,36.9,Yes,No,6.5,0.17,0.18,0.18,Year 1,Arts,High School,1
168,8920,22.8,Female,25908.0,Yes,2.7,88.8,1,37.3,No,No,5.7,0.59,0.6,0.67,Year 4,Business,Unknown,0
169,6815,17.9,Female,25000.0,No,2.61,86.5,2,20.6,Yes,No,7.3,2.23,2.05,2.1,Year 2,CS,Master,0
170,5412,19.8,Female,47748.0,Yes,4.07,75.1,3,22.0,No,No,7.7,0.95,0.51,0.46,Year 3,Engineering,Unknown,1
171,8748,20.4,Male,25000.0,Yes,5.84,86.9,0,56.3,Yes,Yes,4.9,3.53,4.0,3.96,Year 2,Science,Bachelor,0
172,5523,22.7,Male,25000.0,Yes,4.35,83.1,3,40.0,No,No,6.0,2.56,2.9,2.9,Year 1,Arts,Unknown,0
173,1045,20.6,Female,29127.0,No,5.56,83.9,1,18.4,No,No,5.6,2.61,3.21,3.22,Year 2,Science,Master,0
174,7335,21.5,Male,45274.0,Yes,3.65,66.0,2,38.1,Yes,Yes,4.9,0.0,0.02,0.02,Year 1,Engineering,Master,1
175,1558,19.2,Female,25000.0,Yes,1.37,73.7,1,43.0,No,No,7.2,0.31,0.04,0.03,Year 3,Science,Master,1
176,3740,18.0,Male,56201.0,Yes,4.97,94.2,2,22.3,Yes,No,7.7,3.41,3.17,3.26,Year 3,Arts,Master,0
177,3523,18.9,Female,39189.0,No,5.22,81.8,4,33.1,No,No,4.2,2.22,2.42,2.45,Year 3,Business,Bachelor,0
178,181,22.4,Male,25000.0,Yes,3.46,67.0,6,27.1,No,Yes,7.7,0.02,0.29,0.29,Year 1,Engineering,Bachelor,1
179,2116,19.9,Female,25000.0,Yes,3.96,77.3,0,32.6,No,Yes,6.0,3.06,3.06,3.18,Year 2,Business,Master,0
180,1700,21.4,Female,37674.0,No,2.94,79.1,3,38.6,No,Yes,6.2,1.11,1.25,1.25,Year 1,Arts,Bachelor,0
181,1380,25.0,Male,49335.0,Yes,3.26,62.0,0,13.9,Yes,No,5.4,0.67,0.36,0.36,Year 1,Business,PhD,0
182,7230,22.5,Female,25302.0,Yes,3.68,67.7,1,9.6,Yes,Yes,8.0,1.76,2.08,2.09,Year 3,Engineering,Bachelor,0
184,619,22.1,Female,25000.0,Yes,3.42,91.1,0,43.1,No,Yes,4.7,3.66,3.62,3.58,Year 2,Science,Bachelor,0
185,3182,22.1,Male,59703.0,Yes,4.53,77.7,2,5.0,Yes,Yes,4.6,1.25,1.44,1.44,Year 1,Arts,High School,0
186,9852,20.7,Female,25000.0,Yes,1.41,95.8,3,31.3,Yes,Yes,8.5,1.15,1.19,1.19,Year 1,Arts,Master,1
187,1601,20.6,Female,25000.0,Yes,4.55,93.6,3,27.1,No,Yes,6.3,2.43,2.18,2.18,Year 1,Arts,High School,0
188,5964,18.0,Male,37249.0,Yes,6.96,70.5,1,56.4,No,No,4.9,1.92,1.8,1.73,Year 3,Science,PhD,0
189,1616,28.0,Female,29734.0,Yes,4.54,81.5,3,5.0,Yes,No,5.8,2.01,2.87,2.88,Year 4,Arts,High School,0
190,5921,23.8,Female,25000.0,No,2.9,93.2,3,20.4,Yes,No,6.6,1.64,1.87,1.87,Year 1,Arts,Master,0
191,9592,20.3,Female,25000.0,Yes,4.24,95.4,0,21.0,No,No,4.1,2.49,2.41,2.49,Year 3,Business,Bachelor,0
192,3892,22.3,Female,36787.0,Yes,5.51,79.5,2,30.2,No,No,5.4,3.49,3.11,3.11,Year 4,Science,Bachelor,0
193,2084,17.0,Male,42510.0,Yes,2.66,80.2,0,32.7,No,No,5.7,1.71,1.74,1.72,Year 2,Arts,High School,0
194,4575,19.4,Male,25000.0,Yes,4.01,76.8,1,37.0,No,No,4.1,1.66,1.54,1.5,Year 3,CS,High School,1
195,5595,23.5,Male,46121.0,Yes,4.48,71.7,3,29.0,Yes,No,3.9,1.64,1.25,1.16,Year 4,Science,High School,1
196,5122,20.0,Male,25173.0,Yes,4.73,92.5,2,41.3,No,No,5.4,2.76,3.0,2.99,Year 4,CS,Bachelor,0
197,4588,23.0,Female,25000.0,Yes,0.5,91.0,3,25.3,Yes,Yes,6.8,1.23,1.02,1.04,Year 2,Engineering,High School,0
198,4903,18.7,Female,25000.0,Yes,5.87,83.0,1,38.3,No,No,4.4,3.29,3.2,3.2,Year 1,CS,Bachelor,0
199,8253,17.0,Female,57293.0,Yes,3.45,84.1,3,27.1,Yes,No,8.2,1.37,2.52,2.52,Year 4,Business,Bachelor,0
200,5917,22.8,Female,33509.0,Yes,4.26,65.6,3,33.9,No,Yes,3.5,1.78,2.0,2.0,Year 2,Arts,High School,0
