Unnamed: 0,age,family_income,study_hours_per_day,attendance_rate,assignment_delay_days,travel_time_minutes,stress_index,gpa,gender_Male,internet_access_Yes,part_time_job_Yes,scholarship_Yes,semester_Year 2,semester_Year 3,semester_Year 4,department_Business,department_CS,department_Engineering,department_Science,parental_education_High School,parental_education_Master,parental_education_PhD,parental_education_Unknown,gpa_trend,study_efficiency,low_income_high_travel,dropout
46,21.8,25000.0,3.82,80.4,0,7.2,5.3,1.7,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,-0.5,2.2470456056140846,0,0
47,22.8,36987.0,3.77,85.6,0,35.2,2.9,4.0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,0.0,0.9424976437558907,0,0
48,18.9,25000.0,5.48,85.4,0,37.9,1.0,4.0,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.16000000000000014,1.3699965750085628,1,0
49,19.8,40100.0,0.91,74.9,2,43.1,5.4,1.23,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,-0.49,0.7398313834846871,0,1
50,19.4,40427.0,4.26,88.7,2,17.1,9.4,1.0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.13,4.2599574004259955,0,0
51,17.0,35645.0,2.46,82.2,1,29.9,4.2,2.84,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,0.7800000000000002,0.8661941331192496,0,0
52,21.6,25182.0,3.92,72.6,1,27.7,5.9,3.61,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,0.1200000000000001,1.0858695682283428,0,0
53,18.6,25685.0,5.08,77.4,1,19.6,4.2,3.14,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,-0.07000000000000028,1.61782924258203,0,0
54,17.3,60696.0,2.91,76.4,1,31.5,4.5,0.38,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.030000000000000027,7.657693218599511,0,0
55,19.2,27875.0,7.03,90.8,0,40.0,3.3,4.0,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,0.0,1.7574956062609846,1,0
56,19.6,29177.0,4.94,88.4,3,24.4,5.2,3.85,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,-0.6400000000000001,1.2831135503544147,0,0
57,18.7,25000.0,2.76,80.3,0,32.4,4.6,3.87,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,0.1299999999999999,0.7131764517404346,1,0
58,19.7,25000.0,3.6,92.4,3,21.3,5.8,2.56,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,-0.29000000000000004,1.406244506857395,0,0
59,22.3,25000.0,3.95,76.1,3,32.3,2.9,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,0.0,395000.0,1,1
60,20.6,25000.0,5.33,71.9,0,36.0,6.5,1.41,True,True,True,False,False,False,True,False,True,False,False,False,True,False,False,0.28,3.7801150346451444,1,0
61,21.6,25000.0,2.7,78.3,1,22.6,7.0,2.39,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.11999999999999966,1.1297023861824846,0,1
62,22.7,25000.0,5.4,79.0,1,31.5,6.3,1.65,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,0.040000000000000036,3.272707438136739,1,1
63,21.8,40223.0,2.81,93.0,4,8.9,8.5,0.9,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,0.38,3.122187531249653,0,0
64,20.0,25000.0,5.55,79.5,2,25.7,7.2,1.68,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0.7,3.3035517645728296,0,0
65,20.1,25000.0,6.96,77.3,3,48.2,7.1,1.81,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,0.09999999999999987,3.8452826227479404,1,0
66,20.9,25000.0,4.98,82.9,2,33.2,5.5,4.0,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,-0.3900000000000001,1.2449968875077815,1,0
67,21.9,32886.0,3.95,92.4,2,24.5,5.0,0.83,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,-0.32999999999999996,4.758978807484248,0,1
68,17.0,25000.0,4.74,83.9,1,38.7,2.1,3.51,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,-0.1599999999999997,1.350423503066943,1,0
69,22.5,25000.0,4.46,79.6,1,23.1,3.7,4.0,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,-0.27,1.114997212506969,0,0
70,19.8,59308.0,4.66,77.2,1,12.4,7.4,1.6,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,-0.24,2.9124817969887684,0,0
71,22.1,25000.0,2.57,97.4,0,30.4,8.1,2.66,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,-0.010000000000000231,0.9661617813466865,1,0
72,19.2,25000.0,4.98,93.9,1,27.7,7.8,3.46,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,0.3700000000000001,1.4393021985485592,0,0
73,17.1,35722.0,5.51,66.0,5,15.5,6.3,1.54,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.19999999999999996,3.5778988448126956,0,0
74,21.8,40919.0,5.43,100.0,4,36.2,5.0,3.1,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,-0.26000000000000023,1.7516072528798292,0,0
75,22.2,25000.0,5.81,89.6,1,30.1,5.0,3.65,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,0.08000000000000007,1.5917764608864085,0,0
76,22.5,25000.0,0.96,80.7,0,33.1,4.1,3.07,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,-0.22999999999999998,0.31270256448676065,1,0
77,22.3,40082.0,4.79,70.1,3,10.4,9.1,2.87,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,0.2799999999999998,1.6689837317640008,0,0
78,20.8,25000.0,1.43,85.7,0,43.3,5.7,2.51,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,0.2200000000000002,0.5697188457416504,1,0
79,20.0,25000.0,6.84,75.6,1,44.0,5.2,3.36,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,0.22999999999999998,2.0357082270588482,1,0
80,19.7,25000.0,6.08,81.1,7,5.0,5.9,3.96,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,-0.16000000000000014,1.5353496582079338,0,0
81,20.1,40607.0,4.64,74.5,0,46.3,8.9,1.02,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,-0.08999999999999997,4.54897501004892,0,1
82,22.1,25000.0,1.05,85.1,4,35.1,3.7,2.83,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,-0.20999999999999996,0.3710234239454984,1,0
83,18.4,25000.0,3.9,84.4,0,45.3,7.2,1.35,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0.33999999999999986,2.888867489870445,1,0
84,20.9,25346.0,2.86,75.2,1,32.7,3.1,1.11,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,-0.10000000000000009,2.5765533643841043,1,1
85,21.1,25000.0,4.33,87.2,2,24.5,4.8,2.96,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.020000000000000018,1.4628328958348114,0,1
86,22.5,41416.0,3.38,82.8,3,56.5,4.2,2.95,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,0.04999999999999982,1.1457588279361763,0,0
87,22.2,41486.0,4.91,81.0,1,25.7,7.1,1.95,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,-0.10999999999999988,2.517935805457408,0,0
88,23.4,43075.0,4.32,60.2,2,17.8,6.9,2.36,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,0.25,1.8305007182172959,0,1
89,21.3,25000.0,4.91,80.7,5,31.3,6.9,2.59,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,-0.6099999999999999,1.8957455762719064,1,0
90,17.2,25000.0,3.52,81.0,0,48.5,3.3,2.57,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0.33000000000000007,1.3696444760915327,1,0
91,17.1,39820.0,6.97,74.2,1,5.0,7.5,1.51,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.18999999999999995,4.61586347110284,0,0
92,23.1,29052.0,1.67,78.1,1,54.5,4.2,3.13,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,-0.009999999999999787,0.5335446212631908,0,0
93,20.6,25000.0,1.84,98.0,0,38.7,6.5,0.54,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,-0.2,3.407344308438733,1,0
94,21.3,29954.0,2.91,96.5,1,43.8,3.1,2.64,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,0.10999999999999988,1.1022685520130606,0,1
95,20.2,48598.0,5.2,85.6,2,16.8,4.2,2.35,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.16000000000000014,2.2127565414615256,0,0
96,18.0,26145.0,2.66,100.0,1,14.0,3.3,3.83,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,-0.20999999999999996,0.6945151579238696,0,0
98,22.6,25000.0,4.81,72.7,0,15.3,5.4,2.92,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,-0.1200000000000001,1.647254632689614,0,0
99,20.8,40978.0,4.34,85.1,2,30.2,5.2,2.62,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.21999999999999975,1.6564822271670716,0,0
100,21.0,25000.0,3.58,90.3,0,32.4,6.7,0.35,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,0.040000000000000036,10.228279192023086,1,1
101,19.5,36342.0,5.54,84.2,1,38.8,3.6,3.29,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,0.1499999999999999,1.6838854593147132,0,0
102,19.0,25000.0,2.01,87.0,2,33.1,4.2,0.95,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,-0.04999999999999993,2.1157672024505003,1,0
103,18.7,34853.0,2.13,70.4,5,5.0,6.6,1.9,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0.1200000000000001,1.121046731332993,0,0
104,19.0,39160.0,2.63,80.7,1,22.2,3.7,1.43,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.09999999999999987,1.839147977986168,0,0
105,19.2,44494.0,2.84,95.9,3,31.1,5.6,1.81,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,-0.31000000000000005,1.5690521046845043,0,0
106,20.0,53373.0,3.15,80.3,0,36.2,3.7,1.45,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,-0.30000000000000004,2.172398811042682,0,0
107,19.7,25000.0,5.0,100.0,1,38.9,6.2,3.51,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,-0.18999999999999995,1.42449736610437,1,0
108,19.7,25000.0,5.57,93.1,1,32.1,3.0,4.0,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,0.0,1.3924965187587033,1,0
109,23.0,44537.0,5.59,85.1,1,39.9,3.6,2.71,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,-0.20999999999999996,2.0627230157822294,0,0
110,21.7,61832.0,3.85,81.2,4,31.7,5.0,1.76,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,-0.30000000000000004,2.187487571093346,0,0
111,20.3,49154.0,2.63,83.6,1,38.9,4.8,0.89,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,0.4,2.9550229772699184,0,1
112,20.9,25000.0,2.63,76.8,1,53.4,6.8,0.96,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.22999999999999998,2.7395547963042053,1,1
113,22.5,34029.0,5.25,81.3,4,21.7,4.8,3.17,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-0.5,1.6561461951224128,0,0
114,21.5,25102.0,4.08,85.1,0,46.1,2.8,4.0,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,-0.43000000000000016,1.019997450006375,1,0
115,20.3,28669.0,0.97,72.2,1,29.4,3.6,2.35,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,-0.03000000000000025,0.41276420100339994,0,0
116,21.5,25000.0,1.87,83.4,2,31.3,7.3,1.17,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,0.31000000000000005,1.5982769378039505,1,1
117,20.7,25000.0,4.23,77.6,0,7.7,4.7,2.97,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,-0.40000000000000036,1.4242376288295326,0,0
119,22.3,25000.0,2.16,84.8,3,34.7,6.7,2.15,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0.5,1.0046464900163257,1,0
120,18.6,25000.0,3.98,81.7,0,25.7,4.4,2.26,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0.43000000000000016,1.7610541546276346,0,0
121,19.7,26690.0,3.77,82.6,0,7.2,5.9,0.33,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.010000000000000009,11.423896245568315,0,0
122,21.4,25000.0,3.41,92.1,2,19.9,6.5,3.24,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,-0.08000000000000007,1.0524658874509647,0,1
123,19.1,56463.0,4.28,75.7,4,29.3,8.6,2.72,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.3500000000000001,1.5735236267513721,0,0
124,20.8,29571.0,5.12,81.4,3,16.2,5.5,1.47,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,-0.10999999999999988,3.482969503608819,0,1
125,22.4,60030.0,5.4,90.4,1,35.8,3.4,4.0,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.45999999999999996,1.3499966250084376,0,0
126,18.6,37427.0,4.61,97.8,3,5.0,5.4,3.64,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.1499999999999999,1.2664800371427551,0,0
127,18.3,49272.0,1.41,90.4,2,19.2,6.2,0.9,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,0.59,1.5666492594526726,0,0
128,19.3,25000.0,4.04,75.7,0,41.3,5.4,3.58,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.17999999999999972,1.1284884679093075,1,0
129,22.1,48357.0,4.68,74.8,0,26.5,7.2,1.31,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,-0.28,3.5724918130395946,0,1
130,22.2,49815.0,2.84,81.0,2,28.7,3.7,3.68,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,0.09999999999999964,0.7717370333232789,0,0
131,18.7,40053.0,3.19,77.8,2,39.9,6.7,2.42,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.08999999999999986,1.31817637117202,0,0
132,20.5,51391.0,2.6,87.3,0,14.1,5.4,1.29,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,0.10999999999999988,2.015488252029054,0,0
133,19.2,31869.0,3.81,87.3,1,24.6,3.5,3.81,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,0.18999999999999995,0.9999973753349729,0,0
134,22.7,50038.0,3.86,86.2,0,47.4,5.5,2.94,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.33000000000000007,1.3129207043513458,0,0
135,20.5,33339.0,4.76,73.6,1,33.8,4.2,3.24,True,True,True,False,False,True,False,False,True,False,False,True,False,False,False,0.08999999999999986,1.46913126811337,0,1
136,18.0,42271.0,4.74,87.6,1,28.1,6.7,1.26,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,-0.31000000000000005,3.7618749057547163,0,0
137,23.4,37661.0,4.34,83.8,1,36.1,3.8,4.0,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,0.0,1.0849972875067813,0,0
139,23.5,25000.0,1.3,85.8,1,28.1,4.9,1.86,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,-0.08000000000000007,0.698920973543153,0,0
140,18.8,25000.0,5.67,72.2,1,53.3,4.8,1.29,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,-0.21999999999999997,4.395314765001821,1,1
141,17.7,29211.0,3.27,73.0,4,38.1,1.7,1.36,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,-0.030000000000000027,2.4043940853376076,0,0
142,18.5,31317.0,3.74,80.8,0,5.9,8.9,1.31,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.29000000000000004,2.854940038625659,0,1
143,20.6,25000.0,6.63,63.9,2,39.1,5.0,2.67,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0.43000000000000016,2.483136767278025,1,0
144,20.5,29041.0,3.88,91.8,3,32.6,6.6,0.64,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0.08999999999999997,6.062405274917579,0,1
145,19.6,25000.0,2.77,84.5,1,34.5,8.1,1.26,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.56,2.1983952508313425,1,0
147,22.5,26213.0,2.04,79.5,1,29.0,5.8,2.8,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,0.18000000000000016,0.7285688265399053,0,0
148,21.2,43527.0,3.64,88.8,5,9.3,3.7,2.85,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,-0.25,1.2771885010929787,0,1
149,18.5,63996.0,4.33,71.5,1,29.9,8.1,1.59,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,-0.21999999999999997,2.723253312872246,0,0
150,18.9,25000.0,4.14,84.3,4,5.2,4.7,3.09,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,0.15000000000000036,1.3398014893155685,0,0
151,23.4,25000.0,4.73,93.0,3,35.6,4.6,1.69,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,-0.33999999999999986,2.79880000710055,1,0
152,19.0,31189.0,2.42,73.8,1,30.7,3.7,1.97,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,-0.09999999999999987,1.2284201603037548,0,0
153,22.1,25000.0,3.77,89.3,2,47.6,7.7,2.3,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,0.2200000000000002,1.6391233081595298,1,0
154,20.1,25000.0,3.47,80.9,0,28.6,4.2,1.98,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,0.27,1.752516401432316,0,0
155,23.3,27061.0,7.4,80.1,3,31.5,2.0,3.44,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,-0.040000000000000036,2.1511565373356474,1,1
156,18.4,45205.0,4.19,82.5,2,52.3,7.8,4.0,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,0.0,1.0474973812565471,0,0
157,17.0,33644.0,5.25,79.2,3,28.5,7.8,0.0,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,0.64,525000.0,0,0
158,20.7,25000.0,3.14,75.5,3,22.7,7.3,2.87,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.020000000000000018,1.0940728429517668,0,0
159,21.1,39823.0,4.2,82.6,0,12.2,3.6,1.64,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,-0.6699999999999999,2.560959994146377,0,0
160,22.6,58367.0,3.17,74.3,2,20.7,9.4,0.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.99,316999.99999999994,0,1
161,18.1,25000.0,4.8,78.7,3,8.3,4.0,3.94,False,True,True,True,True,False,False,False,True,False,False,False,True,False,False,0.06000000000000005,1.2182710196167015,0,0
162,21.4,25000.0,6.01,68.2,2,13.1,5.3,2.11,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,0.4700000000000002,2.848327733043919,0,1
163,23.7,25000.0,3.45,73.6,2,22.8,6.4,2.59,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,-0.1599999999999997,1.3320411890301582,0,0
164,22.8,25000.0,3.42,66.7,0,44.3,6.3,1.21,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,-0.22999999999999998,2.8264229221246104,1,0
165,22.6,25000.0,5.84,64.7,2,52.5,2.7,2.91,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,0.08999999999999986,2.0068659557870934,1,0
166,19.0,43635.0,5.15,68.2,2,26.4,4.9,2.04,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,-0.41000000000000014,2.524497428934172,0,1
